symbol,min_buy,max_buy,last_buy,mean_buy
JPY,13519469.79,13522508.19,13522508.19,13521152.13923077
KRW,122239394.84,122266867.22,122266867.22,122254606.17846154
NGN,146293095.67,146325973.95,146325973.95,146311300.23307693
NZD,147271.0,147304.1,147304.1,147289.3276923077
PLN,357219.11,357299.39,357299.39,357263.56076923077
RON,319894.22,319966.11,319966.11,319934.0253846154
RUB,8599361.91,8601294.55,8601294.55,8600432.005384617
SEK,951412.53,951626.35,951626.35,951530.9238461538
SGD,116721.74,116747.97,116747.97,116736.26692307692
THB,3026994.42,3027674.71,3027674.71,3027371.093076923
TRY,2998050.28,2998724.07,2998724.07,2998423.3530769227
TWD,2830285.24,2830921.33,2830921.33,2830637.4376923074
USD,87258.42,87278.03,87278.03,87269.27769230769
ARS,87062903.8,87082470.53,87082470.53,87074361.58285715
AUD,133748.65,133778.71,133778.71,133766.25142857144
BRL,501561.28,501674.0,501674.0,501627.28714285715
CAD,121814.06,121841.43,121841.43,121830.08714285714
CHF,77078.06,77095.39,77095.39,77088.20571428571
CLP,85944303.27,85963618.61,85963618.61,85955613.84571429
CNY,629124.45,629265.84,629265.84,629207.2414285714
CZK,2082121.03,2082588.97,2082588.97,2082395.0457142857
DKK,613244.46,613382.28,613382.28,613325.1642857144
EUR,82208.33,82226.81,82226.81,82219.15142857142
GBP,68490.09,68505.48,68505.48,68499.10285714285
HKD,678743.94,678896.49,678896.49,678833.2671428572
HRK,402493.83,402584.29,402584.29,402546.8
HUF,33642903.28,33650464.27,33650464.27,33647330.800000004
INR,7363519.93,7365174.83,7365174.83,7364488.997142858
ISK,11407668.0,11410231.78,11410231.78,11409169.284285713
JPY,13519469.79,13522508.19,13522508.19,13521249.0
KRW,122239394.84,122266867.22,122266867.22,122255481.96714285
NGN,146293095.67,146325973.95,146325973.95,146312348.3557143
NZD,147271.0,147304.1,147304.1,147290.38285714286
PLN,357219.11,357299.39,357299.39,357266.12
RON,319894.22,319966.11,319966.11,319936.3171428571
RUB,8599361.91,8601294.55,8601294.55,8600493.615714286
SEK,951412.53,951626.35,951626.35,951537.74
SGD,116721.74,116747.97,116747.97,116737.10285714285
THB,3026994.42,3027674.71,3027674.71,3027392.7800000003
TRY,2998050.28,2998724.07,2998724.07,2998444.8328571427
TWD,2830285.24,2830921.33,2830921.33,2830657.715714286
USD,87258.42,87278.03,87278.03,87269.90285714285
ARS,87062903.8,87082470.53,87082470.53,87074902.17933334
AUD,133748.65,133778.71,133778.71,133767.082
BRL,501561.28,501674.0,501674.0,501630.40133333334
CAD,121814.06,121841.43,121841.43,121830.84333333332
CHF,77078.06,77095.39,77095.39,77088.68466666667
CLP,85944303.27,85963618.61,85963618.61,85956147.49666667
CNY,629124.45,629265.84,629265.84,629211.1479999999
CZK,2082121.03,2082588.97,2082588.97,2082407.974
